filename	language	title	author	year	number of words	antagonists	protagonists	characters	relation/interaction (+ positive, - negative, / neutral) 	ambiguous
snow_white.txt	english	Little Snow-White	Jacob and Wilhelm Grimm	1812	1907	Queen	Snow White	Snow White, Queen, Mirror, seven dwarfs, Huntsman, Prince	Queen - Snow White, Queen / Mirror, Queen - Huntsan, Queen - Prince, Snow White + seven dwarfs, Snow White + Huntsman, Snow White + Prince	
romeo_and_juliet.txt	english	Romeo and Juliet	William Shakespeare	1597	25672	Capulet family, Montague family	Romeo Montague	Romeo/Romeo Montague, Juliet/Juliet Capulet, Lord Capulet, Lady Capulet, Tybalt, Montague Family	Romeo + Juliet, Montague Family - Capulet Family, Montague Family - Juliet, Capulet Family - Romeo, Romeo - Tybalt	
the_lord_of_the_rings.txt	english	The Lord Of The Rings: The Fellowship of the Ring	John Ronald Reuel Tolkien	1954	187813	Sauron	Frodo Baggins	Frodo/Frodo Baggins, Sauron/Dark Lord, Gollum, Gandalf/Wizard, Aragorn, Legolas, Gimli, Samwise Gamgee/Sam, Pippin Took	Frodo - Sauron, Frodo - Gollum, Sauron / Gollum, Sauron - Gandalf, Frodo + Gandalf, Frodo + Aragorn, Frodo + Legolas, Frodo + Gimli, Frodo + Samwise Gamgee, Frodo + Pippin Took	
gatsby.txt	english	The Great Gatsby	Francis Scott Key Fitzgerald	1925	48189	Tom Buchanan	Jay Gatsby	Jay Gatsby, Nick Carraway, Tom Buchanan, Daisy Buchanan, Jordan Baker, Myrtle Wilson, George Wilson	Nick Carraway - Jay Gatsby, Jay Gatsby + Daisy Buchanan, Daisy Buchanan + Tom Buchanan, Tom Buchanan - Jay Gatsby, Tom Buchanan + Myrtle Wilson, Jay Gatsby - Myrtle Wilson	
anna_karenina.txt	english	Anna Karenina	Leo Tolstoy	1878	349736	Karenin	Anna Karenina	Anna Arkadyevna Karenina/Anna Karenina/Anna, Alexei Alexandrovich Karenin/Alexei/Karenin, Alexei Kirillovich Vronsky/Vronsky, Sergei Alexeich Karenin/Seryozha, Konstantin Dmitrich Levin/Dmitrich, Stepan Arkadyich Oblonsky/Stiva	Anna + Vronsky, Anna - Karenin, Karenin - Vronsky, Anna + Sergei, Karenin - Sergei	
samorastniki.txt	slovenian	Samorastniki	Lovro Kuhar	1937	13766	Gospodar	Ožbej, Hudabivška Meta	Ožbej, Hudabivška Meta, Karničnik/Gospodar/Oče, starka Nana	Ožbej + Hudabivška Meta, Oče - Ožbej, Gospodar - Hudabivška Meta	
spicparkeljc.txt	slovenian	Špicparkerljc	Jacob and Wilhelm Grimm	1812	995	Možic	Mlinarjeva hči	Mlinarjeva hči/kraljica, možic/Špicparkeljc, kralj, vitez, mlinar,	Mlinarjava hči + kralj, Mlinarjeva hči - možic, Mlinarjeva hči + vitez	
miklova_zala.txt	slovenian	Miklova Zala	Jakob Sket	1884	35372	Sultan(turki)	Miklova Zala	Miklova Zala/Zalika, Mirko, Almira, Davorin, Turki?	Zalika + Mirko, Mirko + Almira, Almira - Zalika, Almira - Davorin	
martin_kacur.txt	slovenian	Martin Kačur	Ivan Cankar	1906	40754		Martin Kačur	Martin Kačur, Tončka, Minka, Ferjan, Župnik, Župan	Martin  Kačur + Tončka, Martin Kačur + Minka, Martin Kačur + župnik, Martin Kačur + župan, Martin Kačur - Ferjan	
janko_in_metka.txt	slovenian	Janko in Metka	Jacob and Wilhelm Grimm	1812	5721	Čarovnica	Janko, Metka	Janko, Metka, Čarovnica/Coprnica, oče/drvar, mačeha	Janko + Metka, Oče + Janko, Oče + Metka, Mačeha - Janko, Mačeha - Metka, Čarovnica - Janko, Čarovnica - Metka, Oče / Čarovnica, Mačeha / Čarovnica	
										
										
										
										
	DEJTA TEXT FILE V: https://drive.google.com/drive/folders/1ofJP_AEVSyvQQhQODcUgaGB6MDrvTuUe?usp=sharing									
